,State,Year,District,RegisteredUser
0,andaman-&-nicobar-islands,2018,south andaman,5846
1,andaman-&-nicobar-islands,2018,north and middle andaman,632
2,andaman-&-nicobar-islands,2018,nicobars,262
3,andaman-&-nicobar-islands,2018,south andaman,8143
4,andaman-&-nicobar-islands,2018,north and middle andaman,911
5,andaman-&-nicobar-islands,2018,nicobars,351
6,andaman-&-nicobar-islands,2018,south andaman,10474
7,andaman-&-nicobar-islands,2018,north and middle andaman,1208
8,andaman-&-nicobar-islands,2018,nicobars,467
9,andaman-&-nicobar-islands,2018,south andaman,13133
10,andaman-&-nicobar-islands,2018,north and middle andaman,1553
11,andaman-&-nicobar-islands,2018,nicobars,536
12,andaman-&-nicobar-islands,2019,south andaman,15961
13,andaman-&-nicobar-islands,2019,north and middle andaman,2013
14,andaman-&-nicobar-islands,2019,nicobars,622
15,andaman-&-nicobar-islands,2019,south andaman,18621
16,andaman-&-nicobar-islands,2019,north and middle andaman,2417
17,andaman-&-nicobar-islands,2019,nicobars,693
18,andaman-&-nicobar-islands,2019,south andaman,20518
19,andaman-&-nicobar-islands,2019,north and middle andaman,2662
20,andaman-&-nicobar-islands,2019,nicobars,751
21,andaman-&-nicobar-islands,2019,south andaman,22202
22,andaman-&-nicobar-islands,2019,north and middle andaman,2955
23,andaman-&-nicobar-islands,2019,nicobars,803
24,andaman-&-nicobar-islands,2020,south andaman,24174
25,andaman-&-nicobar-islands,2020,north and middle andaman,3315
26,andaman-&-nicobar-islands,2020,nicobars,879
27,andaman-&-nicobar-islands,2020,south andaman,27626
28,andaman-&-nicobar-islands,2020,north and middle andaman,4100
29,andaman-&-nicobar-islands,2020,nicobars,984
30,andaman-&-nicobar-islands,2020,south andaman,34833
31,andaman-&-nicobar-islands,2020,north and middle andaman,5355
32,andaman-&-nicobar-islands,2020,nicobars,1147
33,andaman-&-nicobar-islands,2020,south andaman,43908
34,andaman-&-nicobar-islands,2020,north and middle andaman,7076
35,andaman-&-nicobar-islands,2020,nicobars,1412
36,andaman-&-nicobar-islands,2021,south andaman,48352
37,andaman-&-nicobar-islands,2021,north and middle andaman,7833
38,andaman-&-nicobar-islands,2021,nicobars,1573
39,andaman-&-nicobar-islands,2021,south andaman,51903
40,andaman-&-nicobar-islands,2021,north and middle andaman,8493
41,andaman-&-nicobar-islands,2021,nicobars,1699
42,andaman-&-nicobar-islands,2021,south andaman,55873
43,andaman-&-nicobar-islands,2021,north and middle andaman,9263
44,andaman-&-nicobar-islands,2021,nicobars,1846
45,andaman-&-nicobar-islands,2021,south andaman,59807
46,andaman-&-nicobar-islands,2021,north and middle andaman,10002
47,andaman-&-nicobar-islands,2021,nicobars,1971
48,andaman-&-nicobar-islands,2022,south andaman,63487
49,andaman-&-nicobar-islands,2022,north and middle andaman,10720
50,andaman-&-nicobar-islands,2022,nicobars,2081
51,andaman-&-nicobar-islands,2022,south andaman,66959
52,andaman-&-nicobar-islands,2022,north and middle andaman,11379
53,andaman-&-nicobar-islands,2022,nicobars,2192
54,andaman-&-nicobar-islands,2022,south andaman,70445
55,andaman-&-nicobar-islands,2022,north and middle andaman,11897
56,andaman-&-nicobar-islands,2022,nicobars,2300
57,andaman-&-nicobar-islands,2022,south andaman,73692
58,andaman-&-nicobar-islands,2022,north and middle andaman,12361
59,andaman-&-nicobar-islands,2022,nicobars,2389
60,andhra-pradesh,2018,visakhapatnam,497187
61,andhra-pradesh,2018,east godavari,350356
62,andhra-pradesh,2018,krishna,323673
63,andhra-pradesh,2018,guntur,317065
64,andhra-pradesh,2018,chittoor,309541
65,andhra-pradesh,2018,anantapur,241192
66,andhra-pradesh,2018,kurnool,240133
67,andhra-pradesh,2018,west godavari,213335
68,andhra-pradesh,2018,spsr nellore,194475
69,andhra-pradesh,2018,prakasam,189949
70,andhra-pradesh,2018,visakhapatnam,636052
71,andhra-pradesh,2018,east godavari,454398
72,andhra-pradesh,2018,krishna,431965
73,andhra-pradesh,2018,guntur,420326
74,andhra-pradesh,2018,chittoor,414306
75,andhra-pradesh,2018,anantapur,326383
76,andhra-pradesh,2018,kurnool,319313
77,andhra-pradesh,2018,west godavari,282393
78,andhra-pradesh,2018,spsr nellore,261049
79,andhra-pradesh,2018,prakasam,253458
80,andhra-pradesh,2018,visakhapatnam,769096
81,andhra-pradesh,2018,east godavari,558982
82,andhra-pradesh,2018,krishna,537086
83,andhra-pradesh,2018,guntur,518931
84,andhra-pradesh,2018,chittoor,515727
85,andhra-pradesh,2018,anantapur,405855
86,andhra-pradesh,2018,kurnool,394311
87,andhra-pradesh,2018,west godavari,349782
88,andhra-pradesh,2018,spsr nellore,322446
89,andhra-pradesh,2018,prakasam,314899
90,andhra-pradesh,2018,visakhapatnam,978288
91,andhra-pradesh,2018,east godavari,694455
92,andhra-pradesh,2018,krishna,682479
93,andhra-pradesh,2018,chittoor,665280
94,andhra-pradesh,2018,guntur,659552
95,andhra-pradesh,2018,anantapur,510892
96,andhra-pradesh,2018,kurnool,498582
97,andhra-pradesh,2018,west godavari,435668
98,andhra-pradesh,2018,spsr nellore,407495
99,andhra-pradesh,2018,prakasam,394962
100,andhra-pradesh,2019,visakhapatnam,1174517
101,andhra-pradesh,2019,east godavari,839277
102,andhra-pradesh,2019,krishna,833694
103,andhra-pradesh,2019,chittoor,812314
104,andhra-pradesh,2019,guntur,802394
105,andhra-pradesh,2019,anantapur,612162
106,andhra-pradesh,2019,kurnool,599422
107,andhra-pradesh,2019,west godavari,523372
108,andhra-pradesh,2019,spsr nellore,491908
109,andhra-pradesh,2019,prakasam,474260
110,andhra-pradesh,2019,visakhapatnam,1318740
111,andhra-pradesh,2019,krishna,952300
112,andhra-pradesh,2019,east godavari,945181
113,andhra-pradesh,2019,chittoor,925491
114,andhra-pradesh,2019,guntur,915256
115,andhra-pradesh,2019,anantapur,695114
116,andhra-pradesh,2019,kurnool,680118
117,andhra-pradesh,2019,west godavari,592185
118,andhra-pradesh,2019,spsr nellore,558303
119,andhra-pradesh,2019,prakasam,539462
120,andhra-pradesh,2019,visakhapatnam,1460464
121,andhra-pradesh,2019,krishna,1066546
